Processes: 519 total, 8 running, 2 stuck, 509 sleeping, 3587 threads 
2025/12/24 00:31:06
Load Avg: 6.35, 7.03, 7.15 
CPU usage: 43.18% user, 19.38% sys, 37.43% idle 
SharedLibs: 628M resident, 119M data, 305M linkedit.
MemRegions: 44 total, 1424K resident, 88M private, 1229M shared.
PhysMem: 23G used (3676M wired, 7447M compressor), 93M unused.
VM: 204T vsize, 10G framework vsize, 45631(0) swapins, 224844(0) swapouts.
Networks: packets: 5911418/3571M in, 6465412/5339M out.
Disks: 4059699/64G read, 63844552/385G written.

PID    COMMAND          POWER
90076* java             90.9 
77139* java             76.5 
36163* java             44.2 
414*   WindowServer     31.9 
2154*  ecosystemd       25.1 
73780* ecosystemanalyti 20.6 
424*   trustd           16.2 
7492*  node             15.5 
5563*  node             14.2 
97274* node             11.8 
1*     launchd          9.1  
91809* top              8.9  
704*   rio              8.7  
92720* node             5.1  
345*   fseventsd        3.5  
57386* replayd          2.9  
769*   oahd             2.2  
32595* VTEncoderXPCServ 1.8  
585*   com.apple.Driver 1.8  
46202* flox-watchdog    1.7  
91164* Aqua Voice       1.6  
1215*  GCPDot           1.6  
370*   mds              1.6  
341*   logd             1.6  
599*   mds_stores       1.4  
92289* codex            1.2  
91212* Aqua Voice Helpe 1.1  
68569* node             1.0  
93268* node             0.8  
731*   ControlCenter    0.5  
67832* screencaptureui  0.5  
67830* screencapture    0.4  
30360* QuickTime Player 0.4  
91183* Aqua Voice Helpe 0.4  
954*   flox-watchdog    0.4  
736*   Finder           0.3  
703*   LocalSend        0.3  
381*   opendirectoryd   0.2  
468*   syspolicyd       0.1  
407*   notifyd          0.1  
343*   UserEventAgent   0.1  
648*   trustd           0.1  
526*   mDNSResponder    0.0  
884*   com.apple.WebKit 0.0  
617*   cfprefsd         0.0  
416*   cfprefsd         0.0  
5816*  node             0.0  
465*   airportd         0.0  
9512*  node             0.0  
87543* codex            0.0  
409*   corebrightnessd  0.0  
355*   powerd           0.0  
680*   stable           0.0  
91202* AquaMacOSBridge  0.0  
406*   bluetoothd       0.0  
23879* VPN              0.0  
1007*  python3.12       0.0  
91810* awk              0.0  
667*   Google Chrome    0.0  
737*   imagent          0.0  
630*   WindowManager    0.0  
35974* java             0.0  
735*   ViewBridgeAuxili 0.0  
373*   diskarbitrationd 0.0  
535*   audioclocksyncd  0.0  
76736* java             0.0  
89804* java             0.0  
709*   Tailscale        0.0  
511*   symptomsd        0.0  
655*   cloudd           0.0  
632*   lsd              0.0  
383*   apsd             0.0  
651*   com.apple.hiserv 0.0  
696*   duetexpertd      0.0  
38826* com.apple.WebKit 0.0  
626*   universalaccessd 0.0  
938*   Google Chrome He 0.0  
792*   io.tailscale.ipn 0.0  
795*   milod            0.0  
2447*  PerfPowerService 0.0  
670*   sharingd         0.0  
353*   configd          0.0  
51893* node             0.0  
778*   nearbyd          0.0  
380*   contextstored    0.0  
1189*  Signal Helper (R 0.0  
389*   locationd        0.0  
384*   launchservicesd  0.0  
763*   WallpaperAerials 0.0  
379*   thermalmonitord  0.0  
664*   Signal           0.0  
98300* node             0.0  
723*   Notes            0.0  
857*   XprotectService  0.0  
418*   runningboardd    0.0  
4941*  secinitd         0.0  
91477* secinitd         0.0  
551*   cameracaptured   0.0  
91511* secinitd         0.0  
654*   Safari           0.0  
943*   Google Chrome He 0.0  
747*   gamepolicyd      0.0  
711*   NotificationCent 0.0  
85634* CommCenter       0.0  
23460* iconservicesagen 0.0  
638*   nsurlsessiond    0.0  
91499* containermanager 0.0  
629*   containermanager 0.0  
951*   Google Chrome He 0.0  
91527* containermanager 0.0  
