Processes: 494 total, 4 running, 490 sleeping, 3188 threads 
2025/12/24 00:49:18
Load Avg: 6.84, 6.86, 6.66 
CPU usage: 28.75% user, 11.75% sys, 59.49% idle 
SharedLibs: 631M resident, 119M data, 315M linkedit.
MemRegions: 0 total, 0B resident, 74M private, 1373M shared.
PhysMem: 18G used (3557M wired, 4635M compressor), 4877M unused.
VM: 197T vsize, 10G framework vsize, 50452(0) swapins, 224844(0) swapouts.
Networks: packets: 6440485/3911M in, 7108448/5911M out.
Disks: 4223826/67G read, 68392022/414G written.

PID    COMMAND          POWER
59591* java             89.4 
2154*  ecosystemd       62.1 
424*   trustd           33.2 
414*   WindowServer     27.0 
50887* ecosystemanalyti 24.1 
5563*  node             11.9 
704*   rio              9.4  
92169* top              8.0  
97274* node             4.6  
92720* node             3.9  
1*     launchd          3.6  
57386* replayd          3.2  
7492*  node             3.2  
341*   logd             2.2  
1215*  GCPDot           2.1  
32595* VTEncoderXPCServ 2.1  
599*   mds_stores       1.9  
769*   oahd             1.8  
370*   mds              1.7  
585*   com.apple.Driver 1.7  
46202* flox-watchdog    1.6  
345*   fseventsd        1.6  
92289* codex            1.0  
93268* node             0.7  
731*   ControlCenter    0.7  
67830* screencapture    0.6  
703*   LocalSend        0.4  
406*   bluetoothd       0.3  
680*   stable           0.3  
954*   flox-watchdog    0.3  
792*   io.tailscale.ipn 0.2  
91202* AquaMacOSBridge  0.1  
526*   mDNSResponder    0.1  
736*   Finder           0.1  
735*   ViewBridgeAuxili 0.1  
91175* mdworker_shared  0.1  
648*   trustd           0.0  
884*   com.apple.WebKit 0.0  
795*   milod            0.0  
409*   corebrightnessd  0.0  
651*   com.apple.hiserv 0.0  
465*   airportd         0.0  
1007*  python3.12       0.0  
709*   Tailscale        0.0  
355*   powerd           0.0  
23879* VPN              0.0  
87543* codex            0.0  
778*   nearbyd          0.0  
670*   sharingd         0.0  
667*   Google Chrome    0.0  
5816*  node             0.0  
